"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.10.2023","22,85","20,78","22,86","20,78","2,77K","103,65%"
"24.10.2023","11,22","12,60","12,60","11,22","0,30K","-4,35%"
"20.10.2023","11,73","10,49","12,19","10,49","2,03K","6,73%"
"19.10.2023","10,99","10,45","11,00","9,62","3,13K","5,17%"
"18.10.2023","10,45","10,50","10,50","10,44","0,50K","0,97%"
"17.10.2023","10,35","10,35","10,35","10,35","0,20K","-1,43%"
"16.10.2023","10,50","10,55","10,55","10,50","0,20K","-0,10%"
"13.10.2023","10,51","10,51","10,51","10,51","0,10K","-4,45%"
"30.08.2023","11,00","10,97","11,00","10,97","0,40K","2,33%"
"10.08.2023","10,75","10,80","10,80","10,75","1,40K","-6,52%"
"07.08.2023","11,50","11,50","11,50","11,49","1,09K","3,60%"
"04.08.2023","11,10","11,05","11,10","10,98","1,40K","2,68%"
"01.08.2023","10,81","9,83","10,81","9,83","1,98K","-1,01%"
