"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.10.2023","2,79","3,08","3,35","2,73","58,35M","19,23%"
"24.10.2023","2,34","2,36","2,51","2,33","683,50K","0,86%"
"23.10.2023","2,32","2,42","2,44","2,31","588,26K","-4,53%"
"20.10.2023","2,43","2,61","2,62","2,42","575,65K","-6,18%"
"19.10.2023","2,59","2,71","2,77","2,58","625,27K","-3,36%"
"18.10.2023","2,68","2,89","2,89","2,67","449,37K","-7,59%"
"17.10.2023","2,90","2,93","3,01","2,82","775,43K","-1,69%"
"16.10.2023","2,95","3,04","3,10","2,88","970,14K","-5,75%"
"13.10.2023","3,13","2,99","3,17","2,88","768,59K","4,33%"
"12.10.2023","3,00","3,22","3,23","2,88","1,15M","-7,41%"
"11.10.2023","3,24","3,16","3,71","3,07","2,60M","-2,70%"
"10.10.2023","3,33","2,79","3,62","2,71","8,87M","21,53%"
"09.10.2023","2,74","2,77","2,94","2,65","607,97K","-2,49%"
"06.10.2023","2,81","2,62","2,82","2,56","1,17M","6,84%"
"05.10.2023","2,63","2,45","2,66","2,43","1,48M","-0,75%"
"04.10.2023","2,65","2,28","3,10","2,26","6,75M","13,25%"
"03.10.2023","2,34","2,40","2,40","2,23","816,35K","-3,70%"
"02.10.2023","2,43","2,55","2,55","2,34","806,49K","-3,95%"
"29.09.2023","2,53","2,53","2,70","2,51","626,21K","1,61%"
"28.09.2023","2,49","2,75","2,75","2,48","854,96K","-9,12%"
"27.09.2023","2,74","2,85","2,88","2,73","376,93K","-0,72%"
"26.09.2023","2,76","2,85","3,00","2,76","495,69K","-2,82%"
"25.09.2023","2,84","2,85","2,97","2,81","469,64K","-2,41%"
