"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.10.2023","0,170","0,189","0,190","0,165","33,78M","9,68%"
"24.10.2023","0,155","0,190","0,200","0,145","30,17M","-43,62%"
"23.10.2023","0,275","0,330","0,357","0,216","280,86M","208,18%"
"20.10.2023","0,089","0,093","0,094","0,085","842,64K","-4,09%"
"19.10.2023","0,093","0,105","0,105","0,085","1,75M","-11,34%"
"18.10.2023","0,105","0,100","0,110","0,100","2,24M","0,87%"
"17.10.2023","0,104","0,105","0,107","0,095","841,80K","-0,95%"
"16.10.2023","0,105","0,115","0,121","0,101","767,26K","-8,70%"
"13.10.2023","0,115","0,127","0,127","0,113","497,22K","-8,73%"
"12.10.2023","0,126","0,132","0,140","0,122","146,36K","-4,04%"
"11.10.2023","0,131","0,150","0,150","0,120","651,95K","-12,47%"
"10.10.2023","0,150","0,155","0,165","0,145","341,58K","0,00%"
"09.10.2023","0,150","0,158","0,158","0,140","172,15K","0,00%"
"06.10.2023","0,150","0,175","0,175","0,140","1,18M","-14,29%"
"05.10.2023","0,175","0,200","0,202","0,175","347,89K","-10,26%"
"04.10.2023","0,195","0,199","0,210","0,195","113,08K","-2,50%"
"03.10.2023","0,200","0,201","0,210","0,197","501,58K","-7,02%"
"02.10.2023","0,215","0,246","0,246","0,204","315,40K","-8,51%"
"29.09.2023","0,235","0,250","0,250","0,230","164,35K","-4,08%"
"28.09.2023","0,245","0,266","0,266","0,238","512,52K","-5,77%"
"27.09.2023","0,260","0,262","0,266","0,250","211,29K","-0,88%"
"26.09.2023","0,262","0,300","0,300","0,260","139,92K","-8,44%"
"25.09.2023","0,287","0,303","0,330","0,260","350,68K","-5,10%"
"22.09.2023","0,302","0,304","0,350","0,300","84,96K","-2,58%"
"21.09.2023","0,310","0,320","0,339","0,305","45,44K","-3,12%"
"20.09.2023","0,320","0,320","0,340","0,320","44,04K","0,00%"
"19.09.2023","0,320","0,320","0,338","0,305","70,53K","6,67%"
"18.09.2023","0,300","0,330","0,338","0,300","98,50K","-15,49%"
"15.09.2023","0,355","0,320","0,365","0,320","44,52K","9,23%"
"14.09.2023","0,325","0,337","0,365","0,310","65,75K","-5,78%"
"13.09.2023","0,345","0,360","0,360","0,338","31,04K","-1,44%"
"12.09.2023","0,350","0,340","0,362","0,340","19,76K","-2,48%"
"11.09.2023","0,359","0,390","0,390","0,330","35,43K","5,56%"
"08.09.2023","0,340","0,321","0,359","0,300","402,90K","4,62%"
"07.09.2023","0,325","0,327","0,330","0,320","35,42K","1,56%"
"06.09.2023","0,320","0,321","0,338","0,320","101,44K","-4,48%"
"05.09.2023","0,335","0,321","0,360","0,321","71,56K","2,27%"
"01.09.2023","0,328","0,326","0,355","0,326","116,46K","-2,22%"
"31.08.2023","0,335","0,341","0,350","0,328","68,17K","-1,50%"
"30.08.2023","0,340","0,345","0,350","0,339","68,43K","-3,49%"
"29.08.2023","0,352","0,354","0,365","0,339","132,20K","-3,45%"
"28.08.2023","0,365","0,389","0,390","0,310","327,37K","-6,41%"
"25.08.2023","0,390","0,391","0,391","0,365","63,07K","-2,45%"
"24.08.2023","0,400","0,430","0,440","0,380","105,31K","-1,72%"
"23.08.2023","0,407","0,420","0,420","0,396","250,90K","-2,38%"
